iter	MultiClass
0	4.311128281
1	4.263627646
2	4.225972106
3	4.194412001
4	4.167513381
5	4.13630542
6	4.103776829
7	4.071778229
8	4.04015719
9	4.010261088
10	3.98165566
11	3.948059053
12	3.917465723
13	3.891096691
14	3.865112625
15	3.836720621
16	3.812686644
17	3.781552338
18	3.756967375
19	3.734187282
20	3.708110363
21	3.683939705
22	3.659042894
23	3.634184788
24	3.609683755
25	3.582640041
26	3.559725702
27	3.532497575
28	3.50937561
29	3.486962961
30	3.465592126
31	3.441416405
32	3.421589495
33	3.395089439
34	3.370754743
35	3.348397256
36	3.329681696
37	3.31007398
38	3.291757736
39	3.270112918
40	3.250135971
41	3.23186914
42	3.215326111
43	3.194596552
44	3.177358133
45	3.16050239
46	3.144547759
47	3.128074752
48	3.111232352
49	3.096605198
50	3.078381887
51	3.061905724
52	3.045036351
53	3.029153571
54	3.014218552
55	2.997737268
56	2.981844809
57	2.96669582
58	2.953104161
59	2.936318004
60	2.921944579
61	2.905576961
62	2.89120201
63	2.875568129
64	2.861444536
65	2.848679533
66	2.834956177
67	2.819214066
68	2.805803487
69	2.794267243
70	2.779730317
71	2.765334308
72	2.751164048
73	2.737592805
74	2.725085719
75	2.712068737
76	2.695551854
77	2.681134474
78	2.668633368
79	2.654948676
80	2.641752455
81	2.630117783
82	2.617879205
83	2.605200705
84	2.593116032
85	2.582185638
86	2.570708233
87	2.559075657
88	2.546923963
89	2.535532963
90	2.525156995
91	2.515456771
92	2.50931945
93	2.497953069
94	2.488525463
95	2.475753672
96	2.465946083
97	2.45548964
98	2.442626619
99	2.431563436
100	2.423750887
101	2.412781178
102	2.402810522
103	2.391035691
104	2.379253814
105	2.369016739
106	2.359686806
107	2.349735085
108	2.341241684
109	2.330719751
110	2.321611774
111	2.315936286
112	2.306371224
113	2.295031364
114	2.287555339
115	2.277387585
116	2.269739153
117	2.261275636
118	2.25735661
119	2.249557919
120	2.241277247
121	2.233773012
122	2.224234336
123	2.215621078
124	2.208277922
125	2.202172929
126	2.195211619
127	2.185194748
128	2.176327198
129	2.16723981
130	2.161189388
131	2.153376738
132	2.144495474
133	2.139734454
134	2.134146
135	2.124650503
136	2.120153828
137	2.111779045
138	2.106121667
139	2.096832645
140	2.091327218
141	2.083829701
142	2.075795149
143	2.06856142
144	2.060784241
145	2.055420717
146	2.049535492
147	2.041517317
148	2.035245538
149	2.027595339
150	2.02154717
151	2.016066801
152	2.008515596
153	2.002060091
154	1.99428234
155	1.987542277
156	1.982013973
157	1.974704402
158	1.968204202
159	1.960776668
160	1.95671745
161	1.950572964
162	1.944700778
163	1.939118555
164	1.93307037
165	1.925190378
166	1.918125167
167	1.913983981
168	1.908305063
169	1.901693536
170	1.897291818
171	1.894690161
172	1.887965696
173	1.881962057
174	1.87725513
175	1.871503685
176	1.866292718
177	1.859925015
178	1.855075899
179	1.849913837
180	1.843506435
181	1.837466785
182	1.832400872
183	1.826077991
184	1.821064762
185	1.815159751
186	1.809007166
187	1.804141716
188	1.799145269
189	1.792972419
190	1.786429359
191	1.78024361
192	1.774407834
193	1.769281887
194	1.763210919
195	1.757859415
196	1.753132881
197	1.746991261
198	1.741286252
199	1.736914381
200	1.732635208
201	1.728359495
202	1.722002965
203	1.716998354
204	1.712485989
205	1.708562282
206	1.702940263
207	1.697096422
208	1.691729615
209	1.689390453
210	1.685244251
211	1.679844888
212	1.675234799
213	1.670213277
214	1.664243341
215	1.659164331
216	1.654936682
217	1.651449676
218	1.64700893
219	1.641225406
